编号,名称,加成
1,铲,1
2,粘土杯,2
3,万能工具,3
4,电钻,4
5,链锯,5
6,扳手机械臂,6
7,螺丝刀机械臂,7
8,锯刃机械臂,8
9,锤子机械臂,9
10,剪线钳机械臂,10
11,凿子机械臂,11
12,软锤机械臂,12
13,机械刀,13
14,机械钻,14
15,锉刀机械臂,15
16,手钻,16
17,建筑之杖,17
18,已成型的瓷杯,18
19,木桶,19
20,斧,20
21,粘土量杯,21
22,锯,22
23,圆锯(LV),23
24,扳手,24
25,扳手(LV),25
26,扳手(MV),26
27,扳手(HV),27
28,撬棍,28
29,剪线钳,29
30,万用铲,30
31,刀,31
32,屠刀,32
33,大镰刀,33
34,小型弯曲绕筒,34
35,双刃斧,35
36,气锤(HV),36
37,火柴,37
38,火柴盒(满),38
39,打火机(满),39
40,粘土龙头,40
41,粘土料斗,41
42,粘土坩埚,42
43,粘土浇铸盆,43
44,粘土模具,44
45,粘土坩埚浇铸口,45
46,粘土浇筑道,46
47,粘土榨汁机,47
48,粘土碗,48
49,剑,49
50,镐,50
51,铲,51
52,锄,52
53,锤子,53
54,软锤,54
55,锉刀,55
56,螺丝刀,56
57,螺丝刀(LV),57
58,捕虫网,58
59,修枝剪,59
60,电动修枝剪(LV),60
61,多用铲,61
62,刀,62
63,犁,63
64,搋子,64
65,擀面杖,65
66,凿子,66
67,打火石,67
68,活动扳手,68
69,活动扳手(LV),69
70,活动扳手(MV),70
71,活动扳手(HV),71
72,建筑镐,72
73,放大镜,73
74,剪刀,74
75,手提钻(HV),75
76,手钻(LV),76
77,搅拌器,77
78,水银温度计,78
79,弯曲绕筒,79
80,起火器,80
81,棒槌,81
82,钳子,82
83,尖头铲子,83
84,镶钻镐头,84
85,透镜,85
86,剪枝器(LV),86
87,空喷罐,87
88,去色喷漆,88
89,建筑泡沫移除喷罐,89
90,建筑泡沫硬化喷罐,90
91,二氧化碳灭火器(CO2),91
92,铂打火机(满),92
93,比克打火机(满),93
94,远程激活器,94
95,调试扫描仪,95
96,便携式扫描仪,96
97,便携式作物扫描仪,97
98,世界生成工具(调试用),98
99,指南针(指北),99
100,激光镭射器,100
101,氦激光镭射器,101
102,氖激光镭射器,102
103,氩激光镭射器,103
104,氪激光镭射器,104
105,氙激光镭射器,105
106,氦氖混合气体激光镭射器,106
107,一氧化碳激光镭射器,107
108,二氧化碳激光镭射器,108
109,钥匙,109
110,压模模具,110
111,低热容压模模具,111
112,食物模具,112
113,切片器刀片,113
114,颜料喷漆,114
115,建筑泡沫喷罐,115
116,加强建筑泡沫喷罐,116
117,帆布,117
118,USB驱动器,118
119,U盘,119
120,USB数据线,120
121,强力胶布,121
122,FAL-84大脑科技高级强化航空布胶带,122
123,胶带,123
124,盖革计数器,124
